All,Sve
None,Ništa
"Allowed Scopes","Dozvoljena stanja"
"You need more permissions to apply some of the rule updates.","Potrebne su Vam dozvole višeg nivoa da primenite neku od pravila dopune."
"More permissions are needed to save this item.","Treba vam više dozvola da biste sačuvali ovaj artikal."
"You need more permissions to access website ""%1"".","Potrebne su Vam više dozvole da pristupite websajtu ""%1""."
"Role Scopes","Sve Oblasti"
Custom,Izborno
"Read Details","Pročitajte detalje"
"Mark as Read","Označi kao pročitano"
"Are you sure?","Da li ste sigurni?"
Remove,Ukloni
"Messages Inbox",Sanduče
"You have %1 new system messages","Imate %1 novih sistemskih poruka"
"You have %1 new system message","Imate %1 novu sistemskiu poruku"
"Incoming Message","Dolazeća poruka"
close,zatvori
Notifications,Obaveštenja
"The message has been marked as Read.","Poruka je označena kao pročitana."
"We couldn't mark the notification as Read because of an error.","Nismo mogli označiti obaveštenje kao pročitano zbog greške."
"Please select messages.","Molimo odaberite poruke."
"A total of %1 record(s) have been marked as Read.","Ukupno %1 zapis(a) je označeno kao pročitano."
"Total of %1 record(s) have been removed.","Ukupno %1 zapis(a) je označeno kao uklonjeno."
"We couldn't remove the messages because of an error.","Nismo mogli ukloniti poruke zbog greške."
"The message has been removed.","Poruka je uklonjena."
"You have viewed and resolved all recent system notices. Please refresh the web page to clear the notice alert.","Pregledali ste i rešili sve nedavne sistemske notifikacije. Osvežite web stranicu da biste očistili obaveštenje."
"1 Hour","1 sat"
"2 Hours","2 sata"
"6 Hours","6 sati"
"12 Hours","12 sati"
"24 Hours","24 sata"
critical,kritično
major,glavni
minor,manji
notice,napomena
"Wrong message type","Pogrešna poruka"
"Wrong notification ID specified.","Pogrešno navedena ID oznaka."
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.","{{base_url}} se ne preporučuje za korišćenje u proizvodnom okruženju za opis osnovnog Nesigurnog URL/ Sigurnosnog URL. Zbog toga se preporučuje promena ove vrednosti u vaš Magento <a href=""%1"">konfiguraciju</a>."
"One or more of the Cache Types are invalidated: %1. ","Jedan ili više tipova keša su poništeni: %1. "
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","Idite na <a href=""%1"">za upravljanje kešom</a> i osvežite tipove keša."
"We were unable to synchronize one or more media files. Please refer to the log file for details.","Nije bilo moguće sinhronizovati jednu ili više medijskih datoteka. Pogledajte dnevnik evidencije za detalje."
"Synchronization of media storages has been completed.","Sinhronizacija skladišta medija je dovršeno."
"Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider.","Vaš web server je neispravno podešen i omogućava neovlašćeni pristup osetljivim datotekama. Molimo vas da kontaktirate vašeg provajdera."
"System Messages:","Sistemske poruke:"
"Critical System Messages","Kritične sistemske prouke"
"Major System Messages","Važne sistemske poruke"
"System messages","Sistemske poruke"
Close,Zatvori
"See All (","Pogledaj Sve ("
" unread)",nepročitane)
"Show Toolbar","Prikaži traku sa alatkama"
"Show List","Prikaži listu"
"Use HTTPS to Get Feed","Koristite HTTPS se Get Feed"
"Update Frequency","Ažuriraj učestalost"
"Last Update","Poslednja promena"
Severity,Ozbiljnost
"Date Added","Datum Dodavanja"
Message,Poruka
Actions,Radnje
"Manage Shopping Cart","Ažuriranje korpe sa artiklima"
"Create Order","Kreiranje narudžbine"
Back,Nazad
"Add Products","Dodaj proizvode"
"Update Items and Quantities","Ažuriranje stavki i količine"
"Are you sure you want to clear your cart?","Da li ste sigurni da želite da ispraznite korpu?"
"Clear my shopping cart","Isprazni korpu"
"Add selections to my cart","Dodaj izabrano u korpu"
Cancel,Odustani
"Shopping Cart for %1 in %2","Kolica za kupovinu %1 u %2"
"Select products you want to buy","Izaberite proizvode koje želite kupiti"
Product,Proizvod
Price,Cena
Quantity,Količina
"Products in the Comparison List (%1)","Proizvodi na listi za poređenje (%1)"
"Last ordered items (%1)","Poslednji poručeni artikli (%1)"
Products,Proizvodi
SKU,Šifra
"Recently Compared Products (%1)","Nedavno upoređeni proizvodi (%1)"
"Recently Viewed Products (%1)","Nedavno pregledani proizvodi (%1)"
