"Now Shopping by","Sada kupiti preko"
Previous,Prethodni
Remove,Ukloni
"Remove This Item","Ukloni ovu stavku"
"Shop By","Kupiti po"
"Clear All","Očisti sve"
"Shopping Options","Opcije kupovine"
"Welcome to %store_name","Dobrodošli u %store_name"
"%name,","%naziv,"
"Welcome to %store_name.","Dobrodošli u %store_name."
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","Da biste se prijavili na naš sajt, koristite ove akreditive tokom provere ili na stranici <a href=""%customer_url"">Moj račun</a>:"
Email:,E-mail:
Password:,Lozinka:
"Password you set when creating account","Lozinka koju ste postavili prilikom kreiranja naloga"
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","Zaboravili ste lozinku svog naloga? Kliknite <a href=""%reset_url""> ovde</a> da biste poništili to."
"When you sign in to your account, you will be able to:","Kada se prijavite na svoj nalog, moći ćete da:"
"Quick Checkout","Brza provera"
"Proceed through checkout faster","Nastavite brže kroz proveru"
"Order Status","Status porudžbine"
"Check the status of orders","Proverite status porudžbine"
"Manage Addresses","Upravljajte adresama"
"Store alternative addresses","Skladištenje alternativnih adresa"
"For shipping to multiple family members and friends","Za isporuku više članova porodice i prijateljima"
"Order History","Istorija porudžbine"
"View past orders","Vidi sve porudžbine"
Footer,"Podnožje stranice"
"<a href=%url_about_us>About Us</a>","<a href=%url_about_us>O nama</a>"
"<a href=url_customer_service>Customer Service</a>","<a href=url_customer_service>Servis za kupce</a>"
"Hours of Operation:<br /><span class=""no-link"">%store_hours</span>.","Radno vreme:<br /><span class=""no-link"">%store_hours</span>."
"Credit memo for your %store_name order","Profaktura za vašu %store_name porudžbinu"
"Thank you for your order from %store_name.","Hvala vam za porudžbinu %store_name."
"You can check the status of your order by <a href=""%account_url"">logging into your account</a>.","Možete da proverite status Vaše porudžbine prijavljivanjem <a href=""%account_url"">u Vaš nalog</a>."
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>.","Ako imate pitanja o porudžbini, možete nam pisati na <a href=""mailto:%store_email"">%store_email</a>."
"Your Credit Memo #%creditmemo_id for Order #%order_id","Vaša profaktura #%creditmemo_id za Porudžbinu #%order_id"
"Billing Info","Informacije o plaćanju"
"Shipping Info","Informacije o isporuci"
"Payment Method","Način plaćanja"
"Shipping Method","Način Dostave"
"Update to your %store_name credit memo","Ažurirajate Vašu %store_name profakturu"
"Your order #%increment_id has been updated with a status of <strong>%order_status</strong>.","Vaša porudžbina #%increment_id je ažurirana sa statusom <strong>%order_status</strong>."
"Invoice for your %store_name order","Faktura za Vašu %store_name porudžbinu"
"Your Invoice #%invoice_id for Order #%order_id","Vaša faktura #%invoice_id za Porudžbinu #%order_id"
"Update to your %store_name invoice","Ažurirajte Vašu %store_name fakturu"
"Your %store_name order confirmation","Potvrda %store_name Vaše porudžbine"
"Once your package ships we will send you a tracking number.","Kada Vaša porudžbina bude poslata, poslaćemo Vam broj za praćenje porudžbine."
"Your Order <span class=""no-link"">#%increment_id</span>","Vaša porudžbina <span class=""no-link"">#%increment_id</span>"
"Placed on <span class=""no-link"">%created_at</span>","Postavljeno na <span class=""no-link"">%created_at</span>"
"Update to your %store_name order","Ažurirajte Vašu %store_name porudžbinu"
"Your %store_name order has shipped","Vaša %store_name porudžbina je poslata"
"Your shipping confirmation is below. Thank you again for your business.","Vaša potvrda o isporuci je ispod. Hvala Vam još jednom za Vaše poslovanje."
"Your Shipment #%shipment_id for Order #%order_id","Isporuka za #%shipment_id za porudžbinu #%order_id"
"Update to your %store_name shipment","Ažurirano na Vašoj %store_name pošiljci"
"Account Dashboard","Kontrolna tabla"
"Address Book",Adresar
"Account Information","Informacije o nalogu"
"About Us","O nama"
"Customer Service","Korisnički servis"
"My Account","Moj nalog"
Summary,Rezime
Menu,Meni
Account,Nalog
Settings,Podešavanja
Product,Proizvod
SKU,Šifra
Price,Cena
Quantity,Količina
Total,Ukupno
"Update Items and Quantities","Ažuriranje stavki i količine"
Action,Akcija
Message,Poruka
No,Ne
Yes,Da
Website,"Web sajt"
Save,Sačuvaj
Delete,Obrisati
"Save and Continue Edit","Sačuvaj i nastavi uređivanje"
"Add Attribute","Dodaj atribut"
"Delete Attribute","Izbrisati atribut"
"Use Default Value","Koristite podrazumevane vrednosti"
"Add New Option","Dodati novu opciju"
"Delete Option","Opcija brisanja"
Code,Kod
"Sort Order","Redosled porudžbina"
Attributes,Atributi
"[STORE VIEW]","[PRIKAZ PRODAVNICE]"
None,Ništa
