All,Sve
None,Ništa
"Allowed Scopes","Dozvoljena stanja"
"You need more permissions to delete this item(s): %1.","Potrebno vam je više dozvola da obrišete ovaj artikal(artikle): %1."
"You need more permissions to apply some of the rule updates.","Potrebne su Vam dozvole višeg nivoa da primenite neku od pravila dopune."
"Please assign this entity to a store view.","Molim dodelite ovaj entitet prikazu prodavnice."
"You can create orders only in an active store.","Porudžbine možete praviti samo u aktivnoj prodavnici."
"Please assign this item to a store view.","Molim dodelite ovaj artikal prikazu prodavnice."
"You need more permissions to save this item.","Potrebne su Vam veće privilegije da snimite ovaj artikal."
"You need more permissions to delete this item.","Potrebne su Vam veće privilegije da obrišete ovaj artikal."
"You need more permissions to view this item.","Potrebne su Vam veće privilegije da prikažete ovaj artikal."
"Please specify at least one website or one store group.","Molimo da navedete barem jedan websajt ili grupu prodavnica."
"You need more permissions to set All Scopes to a Role.","Potrebne su Vam veće prvilegije da postavite Sve Oblasti u ovu Ulogu."
"Incorrect website ID: %1","Neispravan websajt ID: %1"
"You need more permissions to access website ""%1"".","Potrebne su Vam više dozvole da pristupite websajtu ""%1""."
"Incorrect store ID: %1","Neispravan ID prodavnice: %1"
"You need more permissions to save this setting.","Potrebne su Vam veće privilegije da snimite ovo podešavanje."
"Role Scopes","Sve Oblasti"
Custom,Izborno
"You don't have permissions to save this item in scope of current store view. Please, switch to allowed store view","Nemate dozvolu da sačuvate ovaj artikal na trenutnom nivou prikaza prodavnice. Molimo vas, prebacite se na dozvoljeni prikaz prodavnice"
"More permissions are needed to delete the ""%1"" item.","Potrebno je više dozvola da biste obrisali stavku ""%1”."
"This entity needs to be assigned to a store view. Verify the entity assignment and try again.","Ovaj entitet mora biti dodeljen prikazu prodavnice. Proverite kome je dodeljen entitet i pokušajte ponovo."
"Orders can only be completed in an active store. Verify the store and try again.","Porudžbine mogu biti izvršene samo u aktivnoj prodavnici. Proverite prodavnicu i pokušajte ponovo."
"This item needs to be assigned to a store view. Assign item and try again.","Ovaj artikal mora biti dodeljen prikazu prodavnice. Dodelite artikal i pokušajte ponovo."
"More permissions are needed to save this item.","Treba vam više dozvola da biste sačuvali ovaj artikal."
"More permissions are needed to delete this item.","Potrebno je više dozvola da biste obrisali ovu stavku."
"More permissions are needed to view this item.","Potrebno je više dozvola da biste videli ovu stavku."
"At least one website or store group needs to be selected. Select and try again.","Barem jedan vebsajt ili grupa prodavnica mora biti izabrana. Izaberite i pokušajte ponovo."
"More permissions are needed to set All Scopes to a Role.","Potrebno je više dozvola da biste postavili sve opsege na Ulogu."
"The ""%1"" website ID is incorrect. Verify the website ID and try again.","""%1"" ID vebsajta je neispravan. Proverite ID vebsajta i pokušajte ponovo."
"The ""%1"" store ID is incorrect. Verify the store ID and try again.","""%1"" ID prodavnice je neispravan. Proverite ID prodavnice i pokušajte ponovo."
"More permissions are needed to save this setting.","Potrebno je više dozvola da biste sačuvali ovo podešavanje."
"Read Details","Pročitajte detalje"
"Mark as Read","Označi kao pročitano"
"Are you sure?","Da li ste sigurni?"
Remove,Ukloni
"Messages Inbox",Sanduče
"You have %1 new system messages","Imate %1 novih sistemskih poruka"
"You have %1 new system message","Imate %1 novu sistemskiu poruku"
"Incoming Message","Dolazeća poruka"
close,zatvori
Notifications,Obaveštenja
"The message has been marked as Read.","Poruka je označena kao pročitana."
"We couldn't mark the notification as Read because of an error.","Nismo mogli označiti obaveštenje kao pročitano zbog greške."
"Please select messages.","Molimo odaberite poruke."
"A total of %1 record(s) have been marked as Read.","Ukupno %1 zapis(a) je označeno kao pročitano."
"Total of %1 record(s) have been removed.","Ukupno %1 zapis(a) je označeno kao uklonjeno."
"We couldn't remove the messages because of an error.","Nismo mogli ukloniti poruke zbog greške."
"The message has been removed.","Poruka je uklonjena."
"1 Hour","1 sat"
"2 Hours","2 sata"
"6 Hours","6 sati"
"12 Hours","12 sati"
"24 Hours","24 sata"
critical,kritično
major,glavni
minor,manji
notice,napomena
"Wrong message type","Pogrešna poruka"
"Wrong notification ID specified.","Pogrešno navedena ID oznaka."
